_id,year,month,date,time,location,indicator,unit,value,note
2469,2023,January,01-01-2023,10:00,MALAKPET,Ozone,ug/m3,15.22,
2470,2023,January,01-01-2023,10:00,MALAKPET,NH3,ug/m3,11.36,
2471,2023,January,01-01-2023,10:00,MALAKPET,Temp,degreC,25.95,
2472,2023,January,01-01-2023,10:00,MALAKPET,RH,%,47.17,
2473,2023,January,01-01-2023,10:00,MALAKPET,WD,DEGREE,99.44,
2474,2023,January,01-01-2023,10:00,MALAKPET,SO2,ug/m3,9.86,
2475,2023,January,01-01-2023,10:00,MALAKPET,WS,m/s,0.05,
2476,2023,January,01-01-2023,10:00,MALAKPET,Xylene,ug/m3,3.28,
2477,2023,January,01-01-2023,10:00,MALAKPET,SR,W/m2,267.1,
2478,2023,January,01-01-2023,10:00,MALAKPET,CO,mg/m3,0.55,
2704,2023,January,01-01-2023,11:00,MALAKPET,Temp,degreC,26.51,
2705,2023,January,01-01-2023,11:00,MALAKPET,NH3,ug/m3,10.9,
2706,2023,January,01-01-2023,11:00,MALAKPET,Ozone,ug/m3,15.47,
2707,2023,January,01-01-2023,11:00,MALAKPET,WS,m/s,0.05,
2708,2023,January,01-01-2023,11:00,MALAKPET,WD,DEGREE,138.18,
2709,2023,January,01-01-2023,11:00,MALAKPET,PM2.5,ug/m3,47.3,
2710,2023,January,01-01-2023,11:00,MALAKPET,MP-Xylene,ug/m3,4.9,
2711,2023,January,01-01-2023,11:00,MALAKPET,RH,%,40.15,
2712,2023,January,01-01-2023,11:00,MALAKPET,NO,ug/m3,9.53,
2713,2023,January,01-01-2023,11:00,MALAKPET,NO2,ug/m3,5.46,
2714,2023,January,01-01-2023,11:00,MALAKPET,SR,W/m2,384.3,
2715,2023,January,01-01-2023,11:00,MALAKPET,SO2,ug/m3,9.84,
2716,2023,January,01-01-2023,11:00,MALAKPET,NOx,ppb,14.76,
2717,2023,January,01-01-2023,11:00,MALAKPET,Benzene,ug/m3,1.01,
2718,2023,January,01-01-2023,11:00,MALAKPET,ETHBENZ,ug/m3,3.64,
