_id,year,month,date,time,location,indicator,unit,value,note
2581,2023,August,01-08-2023,13:00,MALAKPET,WS,m/s,0.03,
2582,2023,August,01-08-2023,13:00,MALAKPET,MP-Xylene,ug/m3,1.71,
2583,2023,August,01-08-2023,13:00,MALAKPET,RF,m m,0,
2584,2023,August,01-08-2023,13:00,MALAKPET,NH3,ug/m3,9.94,
2585,2023,August,01-08-2023,13:00,MALAKPET,Benzene,ug/m3,0.96,
2586,2023,August,01-08-2023,13:00,MALAKPET,Ozone,ug/m3,11.52,
2587,2023,August,01-08-2023,13:00,MALAKPET,NOx,ppb,12.72,
2588,2023,August,01-08-2023,13:00,MALAKPET,NO2,ug/m3,7.5,
2589,2023,August,01-08-2023,13:00,MALAKPET,SO2,ug/m3,8.27,
2590,2023,August,01-08-2023,13:00,MALAKPET,Xylene,ug/m3,2.12,
2591,2023,August,01-08-2023,13:00,MALAKPET,Temp,degreC,28.34,
2592,2023,August,01-08-2023,13:00,MALAKPET,SR,W/m2,579.8,
2593,2023,August,01-08-2023,13:00,MALAKPET,CO,mg/m3,0.47,
2594,2023,August,01-08-2023,13:00,MALAKPET,WD,DEGREE,105.55,
2595,2023,August,01-08-2023,13:00,MALAKPET,PM10,ug/m3,64.03,
2596,2023,August,01-08-2023,13:00,MALAKPET,RH,%,63.71,
2597,2023,August,01-08-2023,13:00,MALAKPET,ETHBENZ,ug/m3,2.43,
2598,2023,August,01-08-2023,13:00,MALAKPET,PM2.5,ug/m3,29.36,
2599,2023,August,01-08-2023,13:00,MALAKPET,NO,ug/m3,5.22,
2831,2023,August,01-08-2023,14:00,MALAKPET,NO2,ug/m3,7.47,
2832,2023,August,01-08-2023,14:00,MALAKPET,NH3,ug/m3,9.53,
2833,2023,August,01-08-2023,14:00,MALAKPET,RF,m m,0,
2834,2023,August,01-08-2023,14:00,MALAKPET,Ozone,ug/m3,13.71,
2835,2023,August,01-08-2023,14:00,MALAKPET,Benzene,ug/m3,0.96,
2836,2023,August,01-08-2023,14:00,MALAKPET,WS,m/s,0.04,
2837,2023,August,01-08-2023,14:00,MALAKPET,NO,ug/m3,5.14,
2838,2023,August,01-08-2023,14:00,MALAKPET,PM2.5,ug/m3,26.33,
2839,2023,August,01-08-2023,14:00,MALAKPET,PM10,ug/m3,65.03,
2840,2023,August,01-08-2023,14:00,MALAKPET,SO2,ug/m3,8.41,
2841,2023,August,01-08-2023,14:00,MALAKPET,CO,mg/m3,0.32,
2842,2023,August,01-08-2023,14:00,MALAKPET,NOx,ppb,12.6,
2843,2023,August,01-08-2023,14:00,MALAKPET,Toluene,ug/m3,1.13,
2844,2023,August,01-08-2023,14:00,MALAKPET,RH,%,64.16,
2845,2023,August,01-08-2023,14:00,MALAKPET,WD,DEGREE,101.63,
2846,2023,August,01-08-2023,14:00,MALAKPET,SR,W/m2,295.4,
2847,2023,August,01-08-2023,14:00,MALAKPET,MP-Xylene,ug/m3,1.75,
2848,2023,August,01-08-2023,14:00,MALAKPET,Xylene,ug/m3,2.1,
2849,2023,August,01-08-2023,14:00,MALAKPET,ETHBENZ,ug/m3,2.45,
2850,2023,August,01-08-2023,14:00,MALAKPET,Temp,degreC,28.25,
3082,2023,August,01-08-2023,15:00,MALAKPET,NOx,ppb,14.4,
3083,2023,August,01-08-2023,15:00,MALAKPET,RH,%,62.37,
3084,2023,August,01-08-2023,15:00,MALAKPET,Temp,degreC,28.84,
3085,2023,August,01-08-2023,15:00,MALAKPET,SR,W/m2,369.6,
3086,2023,August,01-08-2023,15:00,MALAKPET,SO2,ug/m3,8.05,
3087,2023,August,01-08-2023,15:00,MALAKPET,CO,mg/m3,0.78,
3088,2023,August,01-08-2023,15:00,MALAKPET,NO,ug/m3,5.9,
3089,2023,August,01-08-2023,15:00,MALAKPET,Xylene,ug/m3,2.13,
3090,2023,August,01-08-2023,15:00,MALAKPET,Ozone,ug/m3,14.53,
3091,2023,August,01-08-2023,15:00,MALAKPET,Benzene,ug/m3,0.96,
3092,2023,August,01-08-2023,15:00,MALAKPET,RF,m m,0,
3093,2023,August,01-08-2023,15:00,MALAKPET,WS,m/s,0.03,
3094,2023,August,01-08-2023,15:00,MALAKPET,Toluene,ug/m3,1.13,
3095,2023,August,01-08-2023,15:00,MALAKPET,MP-Xylene,ug/m3,1.76,
3096,2023,August,01-08-2023,15:00,MALAKPET,NO2,ug/m3,8.5,
3097,2023,August,01-08-2023,15:00,MALAKPET,WD,DEGREE,82.68,
3098,2023,August,01-08-2023,15:00,MALAKPET,NH3,ug/m3,8.93,
3099,2023,August,01-08-2023,15:00,MALAKPET,ETHBENZ,ug/m3,2.53,
3100,2023,August,01-08-2023,15:00,MALAKPET,PM2.5,ug/m3,23.81,
3101,2023,August,01-08-2023,15:00,MALAKPET,PM10,ug/m3,69.72,
3333,2023,August,01-08-2023,16:00,MALAKPET,ETHBENZ,ug/m3,2.56,
3334,2023,August,01-08-2023,16:00,MALAKPET,SO2,ug/m3,8.22,
3335,2023,August,01-08-2023,16:00,MALAKPET,MP-Xylene,ug/m3,1.77,
3336,2023,August,01-08-2023,16:00,MALAKPET,PM10,ug/m3,68.55,
3337,2023,August,01-08-2023,16:00,MALAKPET,PM2.5,ug/m3,27.84,
3338,2023,August,01-08-2023,16:00,MALAKPET,Xylene,ug/m3,2.13,
3339,2023,August,01-08-2023,16:00,MALAKPET,SR,W/m2,332.3,
3340,2023,August,01-08-2023,16:00,MALAKPET,Toluene,ug/m3,1.13,
3341,2023,August,01-08-2023,16:00,MALAKPET,NH3,ug/m3,9.74,
3342,2023,August,01-08-2023,16:00,MALAKPET,NOx,ppb,10.64,
3343,2023,August,01-08-2023,16:00,MALAKPET,NO2,ug/m3,7.13,
3344,2023,August,01-08-2023,16:00,MALAKPET,NO,ug/m3,3.52,
3345,2023,August,01-08-2023,16:00,MALAKPET,CO,mg/m3,0.78,
3346,2023,August,01-08-2023,16:00,MALAKPET,Ozone,ug/m3,13.43,
3347,2023,August,01-08-2023,16:00,MALAKPET,Benzene,ug/m3,0.98,
